Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 0.0003: (ENTER P37 F1) [D:1.0000; C:1.0000]
 1.0005: (MOVE-UP F1 F24) [D:1.0000; C:1.0000]
 2.0008: (EXIT P37 F24) [D:1.0000; C:1.0000]
 3.0010: (ENTER P8 F24) [D:1.0000; C:1.0000]
 4.0012: (MOVE-DOWN F24 F5) [D:1.0000; C:1.0000]
 5.0015: (EXIT P8 F5) [D:1.0000; C:1.0000]
 6.0017: (MOVE-UP F5 F24) [D:1.0000; C:1.0000]
 7.0020: (MOVE-UP F24 F5) [D:1.0000; C:1.0000]
 8.0022: (ENTER P18 F5) [D:1.0000; C:1.0000]
 9.0025: (MOVE-UP F5 F41) [D:1.0000; C:1.0000]
 10.0028: (EXIT P18 F41) [D:1.0000; C:1.0000]
 11.0030: (ENTER P47 F41) [D:1.0000; C:1.0000]
 12.0033: (MOVE-UP F41 F16) [D:1.0000; C:1.0000]
 13.0035: (EXIT P47 F16) [D:1.0000; C:1.0000]
 14.0037: (MOVE-DOWN F16 F14) [D:1.0000; C:1.0000]
 15.0040: (ENTER P38 F14) [D:1.0000; C:1.0000]
 16.0042: (MOVE-DOWN F14 F28) [D:1.0000; C:1.0000]
 17.0045: (EXIT P38 F28) [D:1.0000; C:1.0000]
 18.0047: (ENTER P29 F28) [D:1.0000; C:1.0000]
 19.0050: (MOVE-DOWN F28 F33) [D:1.0000; C:1.0000]
 20.0053: (MOVE-UP F33 F1) [D:1.0000; C:1.0000]
 21.0055: (EXIT P29 F1) [D:1.0000; C:1.0000]
 22.0058: (MOVE-DOWN F1 F28) [D:1.0000; C:1.0000]
 23.0060: (MOVE-DOWN F28 F10) [D:1.0000; C:1.0000]
 24.0063: (ENTER P23 F10) [D:1.0000; C:1.0000]
 25.0065: (MOVE-DOWN F10 F33) [D:1.0000; C:1.0000]
 26.0068: (EXIT P23 F33) [D:1.0000; C:1.0000]
 27.0070: (ENTER P11 F33) [D:1.0000; C:1.0000]
 28.0072: (MOVE-DOWN F33 F47) [D:1.0000; C:1.0000]
 29.0075: (ENTER P49 F47) [D:1.0000; C:1.0000]
 30.0077: (MOVE-DOWN F47 F23) [D:1.0000; C:1.0000]
 31.0080: (EXIT P49 F23) [D:1.0000; C:1.0000]
 32.0083: (ENTER P41 F23) [D:1.0000; C:1.0000]
 33.0085: (MOVE-UP F23 F38) [D:1.0000; C:1.0000]
 34.0088: (EXIT P41 F38) [D:1.0000; C:1.0000]
 35.0090: (ENTER P46 F38) [D:1.0000; C:1.0000]
 36.0093: (MOVE-UP F38 F14) [D:1.0000; C:1.0000]
 37.0095: (EXIT P11 F14) [D:1.0000; C:1.0000]
 38.0098: (MOVE-DOWN F14 F32) [D:1.0000; C:1.0000]
 39.0100: (ENTER P44 F32) [D:1.0000; C:1.0000]
 40.0103: (MOVE-UP F32 F31) [D:1.0000; C:1.0000]
 41.0105: (ENTER P30 F31) [D:1.0000; C:1.0000]
 42.0107: (MOVE-UP F31 F3) [D:1.0000; C:1.0000]
 43.0110: (EXIT P30 F3) [D:1.0000; C:1.0000]
 44.0112: (ENTER P1 F3) [D:1.0000; C:1.0000]
 45.0115: (MOVE-DOWN F3 F25) [D:1.0000; C:1.0000]
 46.0117: (EXIT P1 F25) [D:1.0000; C:1.0000]
 47.0120: (ENTER P28 F25) [D:1.0000; C:1.0000]
 48.0122: (MOVE-DOWN F25 F48) [D:1.0000; C:1.0000]
 49.0125: (EXIT P28 F48) [D:1.0000; C:1.0000]
 50.0127: (MOVE-UP F48 F19) [D:1.0000; C:1.0000]
 51.0130: (MOVE-UP F19 F25) [D:1.0000; C:1.0000]
 52.0132: (MOVE-DOWN F25 F13) [D:1.0000; C:1.0000]
 53.0135: (MOVE-DOWN F13 F36) [D:1.0000; C:1.0000]
 54.0137: (MOVE-DOWN F36 F13) [D:1.0000; C:1.0000]
 55.0140: (EXIT P46 F13) [D:1.0000; C:1.0000]
 56.0143: (ENTER P24 F13) [D:1.0000; C:1.0000]
 57.0145: (MOVE-DOWN F13 F45) [D:1.0000; C:1.0000]
 58.0148: (ENTER P15 F45) [D:1.0000; C:1.0000]
 59.0150: (MOVE-DOWN F45 F29) [D:1.0000; C:1.0000]
 60.0153: (EXIT P15 F29) [D:1.0000; C:1.0000]
 61.0155: (ENTER P43 F29) [D:1.0000; C:1.0000]
 62.0158: (MOVE-UP F29 F16) [D:1.0000; C:1.0000]
 63.0160: (ENTER P25 F16) [D:1.0000; C:1.0000]
 64.0163: (MOVE-UP F16 F11) [D:1.0000; C:1.0000]
 65.0165: (MOVE-DOWN F11 F39) [D:1.0000; C:1.0000]
 66.0167: (EXIT P25 F39) [D:1.0000; C:1.0000]
 67.0170: (ENTER P13 F39) [D:1.0000; C:1.0000]
 68.0173: (MOVE-UP F39 F22) [D:1.0000; C:1.0000]
 69.0175: (EXIT P13 F22) [D:1.0000; C:1.0000]
 70.0178: (ENTER P27 F22) [D:1.0000; C:1.0000]
 71.0180: (MOVE-DOWN F22 F36) [D:1.0000; C:1.0000]
 72.0182: (ENTER P12 F36) [D:1.0000; C:1.0000]
 73.0185: (EXIT P24 F36) [D:1.0000; C:1.0000]
 74.0188: (MOVE-DOWN F36 F44) [D:1.0000; C:1.0000]
 75.0190: (MOVE-UP F44 F17) [D:1.0000; C:1.0000]
 76.0192: (EXIT P12 F17) [D:1.0000; C:1.0000]
 77.0195: (ENTER P39 F17) [D:1.0000; C:1.0000]
 78.0198: (MOVE-DOWN F17 F31) [D:1.0000; C:1.0000]
 79.0200: (EXIT P39 F31) [D:1.0000; C:1.0000]
 80.0202: (MOVE-UP F31 F17) [D:1.0000; C:1.0000]
 81.0205: (MOVE-DOWN F17 F1) [D:1.0000; C:1.0000]
 82.0208: (MOVE-DOWN F1 F17) [D:1.0000; C:1.0000]
 83.0210: (MOVE-UP F17 F4) [D:1.0000; C:1.0000]
 84.0212: (EXIT P43 F4) [D:1.0000; C:1.0000]
 85.0215: (MOVE-DOWN F4 F12) [D:1.0000; C:1.0000]
 86.0218: (ENTER P4 F12) [D:1.0000; C:1.0000]
 87.0220: (MOVE-DOWN F12 F40) [D:1.0000; C:1.0000]
 88.0222: (EXIT P4 F40) [D:1.0000; C:1.0000]
 89.0225: (ENTER P33 F40) [D:1.0000; C:1.0000]
 90.0228: (MOVE-DOWN F40 F12) [D:1.0000; C:1.0000]
 91.0230: (EXIT P33 F12) [D:1.0000; C:1.0000]
 92.0232: (MOVE-UP F12 F18) [D:1.0000; C:1.0000]
 93.0235: (ENTER P6 F18) [D:1.0000; C:1.0000]
 94.0238: (MOVE-UP F18 F50) [D:1.0000; C:1.0000]
 95.0240: (EXIT P6 F50) [D:1.0000; C:1.0000]
 96.0242: (ENTER P50 F50) [D:1.0000; C:1.0000]
 97.0245: (MOVE-DOWN F50 F10) [D:1.0000; C:1.0000]
 98.0247: (MOVE-DOWN F10 F26) [D:1.0000; C:1.0000]
 99.0250: (EXIT P50 F26) [D:1.0000; C:1.0000]
 100.0253: (ENTER P42 F26) [D:1.0000; C:1.0000]
 101.0255: (MOVE-DOWN F26 F34) [D:1.0000; C:1.0000]
 102.0257: (ENTER P31 F34) [D:1.0000; C:1.0000]
 103.0260: (MOVE-DOWN F34 F6) [D:1.0000; C:1.0000]
 104.0263: (EXIT P31 F6) [D:1.0000; C:1.0000]
 105.0265: (ENTER P2 F6) [D:1.0000; C:1.0000]
 106.0267: (MOVE-DOWN F6 F20) [D:1.0000; C:1.0000]
 107.0270: (EXIT P2 F20) [D:1.0000; C:1.0000]
 108.0273: (ENTER P40 F20) [D:1.0000; C:1.0000]
 109.0275: (MOVE-UP F20 F6) [D:1.0000; C:1.0000]
 110.0277: (MOVE-DOWN F6 F2) [D:1.0000; C:1.0000]
 111.0280: (EXIT P42 F2) [D:1.0000; C:1.0000]
 112.0283: (MOVE-UP F2 F42) [D:1.0000; C:1.0000]
 113.0285: (ENTER P14 F42) [D:1.0000; C:1.0000]
 114.0287: (MOVE-UP F42 F44) [D:1.0000; C:1.0000]
 115.0290: (ENTER P48 F44) [D:1.0000; C:1.0000]
 116.0293: (MOVE-UP F44 F19) [D:1.0000; C:1.0000]
 117.0295: (EXIT P48 F19) [D:1.0000; C:1.0000]
 118.0297: (ENTER P26 F19) [D:1.0000; C:1.0000]
 119.0300: (MOVE-UP F19 F8) [D:1.0000; C:1.0000]
