Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 0.0003: (MOVE-DOWN F1 F28) [D:1.0000; C:1.0000]
 1.0005: (ENTER P29 F28) [D:1.0000; C:1.0000]
 2.0008: (MOVE-UP F28 F1) [D:1.0000; C:1.0000]
 3.0010: (EXIT P29 F1) [D:1.0000; C:1.0000]
 4.0012: (ENTER P37 F1) [D:1.0000; C:1.0000]
 5.0015: (MOVE-DOWN F1 F14) [D:1.0000; C:1.0000]
 6.0017: (ENTER P38 F14) [D:1.0000; C:1.0000]
 7.0020: (MOVE-UP F14 F28) [D:1.0000; C:1.0000]
 8.0022: (EXIT P38 F28) [D:1.0000; C:1.0000]
 9.0025: (MOVE-DOWN F28 F33) [D:1.0000; C:1.0000]
 10.0028: (ENTER P11 F33) [D:1.0000; C:1.0000]
 11.0030: (MOVE-DOWN F33 F14) [D:1.0000; C:1.0000]
 12.0033: (EXIT P11 F14) [D:1.0000; C:1.0000]
 13.0035: (MOVE-DOWN F14 F15) [D:1.0000; C:1.0000]
 14.0037: (ENTER P5 F15) [D:1.0000; C:1.0000]
 15.0040: (MOVE-UP F15 F45) [D:1.0000; C:1.0000]
 16.0042: (EXIT P5 F45) [D:1.0000; C:1.0000]
 17.0045: (MOVE-UP F45 F35) [D:1.0000; C:1.0000]
 18.0047: (ENTER P45 F35) [D:1.0000; C:1.0000]
 19.0050: (MOVE-UP F35 F10) [D:1.0000; C:1.0000]
 20.0053: (EXIT P45 F10) [D:1.0000; C:1.0000]
 21.0055: (ENTER P23 F10) [D:1.0000; C:1.0000]
 22.0058: (MOVE-UP F10 F33) [D:1.0000; C:1.0000]
 23.0060: (EXIT P23 F33) [D:1.0000; C:1.0000]
 24.0063: (MOVE-DOWN F33 F10) [D:1.0000; C:1.0000]
 25.0065: (MOVE-UP F10 F9) [D:1.0000; C:1.0000]
 26.0068: (ENTER P3 F9) [D:1.0000; C:1.0000]
 27.0070: (MOVE-UP F9 F35) [D:1.0000; C:1.0000]
 28.0072: (EXIT P3 F35) [D:1.0000; C:1.0000]
 29.0075: (MOVE-DOWN F35 F37) [D:1.0000; C:1.0000]
 30.0077: (ENTER P32 F37) [D:1.0000; C:1.0000]
 31.0080: (MOVE-DOWN F37 F9) [D:1.0000; C:1.0000]
 32.0083: (EXIT P32 F9) [D:1.0000; C:1.0000]
 33.0085: (MOVE-UP F9 F2) [D:1.0000; C:1.0000]
 34.0088: (ENTER P17 F2) [D:1.0000; C:1.0000]
 35.0090: (MOVE-DOWN F2 F37) [D:1.0000; C:1.0000]
 36.0093: (EXIT P17 F37) [D:1.0000; C:1.0000]
 37.0095: (MOVE-DOWN F37 F26) [D:1.0000; C:1.0000]
 38.0098: (MOVE-UP F26 F48) [D:1.0000; C:1.0000]
 39.0100: (ENTER P16 F48) [D:1.0000; C:1.0000]
 40.0103: (MOVE-UP F48 F32) [D:1.0000; C:1.0000]
 41.0105: (EXIT P16 F32) [D:1.0000; C:1.0000]
 42.0107: (MOVE-UP F32 F19) [D:1.0000; C:1.0000]
 43.0110: (ENTER P26 F19) [D:1.0000; C:1.0000]
 44.0112: (MOVE-UP F19 F42) [D:1.0000; C:1.0000]
 45.0115: (EXIT P26 F42) [D:1.0000; C:1.0000]
 46.0117: (ENTER P14 F42) [D:1.0000; C:1.0000]
 47.0120: (MOVE-DOWN F42 F26) [D:1.0000; C:1.0000]
 48.0122: (EXIT P14 F26) [D:1.0000; C:1.0000]
 49.0125: (MOVE-DOWN F26 F42) [D:1.0000; C:1.0000]
 50.0127: (MOVE-UP F42 F44) [D:1.0000; C:1.0000]
 51.0130: (ENTER P48 F44) [D:1.0000; C:1.0000]
 52.0132: (MOVE-UP F44 F19) [D:1.0000; C:1.0000]
 53.0135: (EXIT P48 F19) [D:1.0000; C:1.0000]
 54.0137: (MOVE-DOWN F19 F8) [D:1.0000; C:1.0000]
 55.0140: (ENTER P19 F8) [D:1.0000; C:1.0000]
 56.0143: (MOVE-UP F8 F44) [D:1.0000; C:1.0000]
 57.0145: (EXIT P19 F44) [D:1.0000; C:1.0000]
 58.0148: (MOVE-DOWN F44 F24) [D:1.0000; C:1.0000]
 59.0150: (EXIT P37 F24) [D:1.0000; C:1.0000]
 60.0153: (MOVE-UP F24 F29) [D:1.0000; C:1.0000]
 61.0155: (ENTER P43 F29) [D:1.0000; C:1.0000]
 62.0158: (MOVE-DOWN F29 F4) [D:1.0000; C:1.0000]
 63.0160: (EXIT P43 F4) [D:1.0000; C:1.0000]
 64.0163: (ENTER P21 F4) [D:1.0000; C:1.0000]
 65.0165: (MOVE-DOWN F4 F27) [D:1.0000; C:1.0000]
 66.0167: (EXIT P21 F27) [D:1.0000; C:1.0000]
 67.0170: (ENTER P9 F27) [D:1.0000; C:1.0000]
 68.0173: (MOVE-DOWN F27 F8) [D:1.0000; C:1.0000]
 69.0175: (EXIT P9 F8) [D:1.0000; C:1.0000]
 70.0178: (MOVE-UP F8 F27) [D:1.0000; C:1.0000]
 71.0180: (MOVE-DOWN F27 F4) [D:1.0000; C:1.0000]
 72.0182: (MOVE-DOWN F4 F45) [D:1.0000; C:1.0000]
 73.0185: (ENTER P15 F45) [D:1.0000; C:1.0000]
 74.0188: (MOVE-DOWN F45 F29) [D:1.0000; C:1.0000]
 75.0190: (EXIT P15 F29) [D:1.0000; C:1.0000]
 76.0192: (MOVE-UP F29 F47) [D:1.0000; C:1.0000]
 77.0195: (ENTER P49 F47) [D:1.0000; C:1.0000]
 78.0198: (MOVE-UP F47 F23) [D:1.0000; C:1.0000]
 79.0200: (EXIT P49 F23) [D:1.0000; C:1.0000]
 80.0202: (ENTER P41 F23) [D:1.0000; C:1.0000]
 81.0205: (MOVE-UP F23 F22) [D:1.0000; C:1.0000]
 82.0208: (ENTER P27 F22) [D:1.0000; C:1.0000]
 83.0210: (MOVE-UP F22 F45) [D:1.0000; C:1.0000]
 84.0212: (EXIT P27 F45) [D:1.0000; C:1.0000]
 85.0215: (MOVE-DOWN F45 F41) [D:1.0000; C:1.0000]
 86.0218: (ENTER P47 F41) [D:1.0000; C:1.0000]
 87.0220: (MOVE-DOWN F41 F11) [D:1.0000; C:1.0000]
 88.0222: (MOVE-UP F11 F16) [D:1.0000; C:1.0000]
 89.0225: (EXIT P47 F16) [D:1.0000; C:1.0000]
 90.0228: (ENTER P25 F16) [D:1.0000; C:1.0000]
 91.0230: (MOVE-UP F16 F39) [D:1.0000; C:1.0000]
 92.0232: (EXIT P25 F39) [D:1.0000; C:1.0000]
 93.0235: (ENTER P13 F39) [D:1.0000; C:1.0000]
 94.0238: (MOVE-UP F39 F22) [D:1.0000; C:1.0000]
 95.0240: (EXIT P13 F22) [D:1.0000; C:1.0000]
 96.0242: (MOVE-UP F22 F39) [D:1.0000; C:1.0000]
 97.0245: (MOVE-DOWN F39 F16) [D:1.0000; C:1.0000]
