Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 0.0003: (ENTER P37 F1) [D:1.0000; C:1.0000]
 1.0005: (MOVE-UP F1 F24) [D:1.0000; C:1.0000]
 2.0008: (EXIT P37 F24) [D:1.0000; C:1.0000]
 3.0010: (ENTER P8 F24) [D:1.0000; C:1.0000]
 4.0012: (MOVE-UP F24 F5) [D:1.0000; C:1.0000]
 5.0015: (EXIT P8 F5) [D:1.0000; C:1.0000]
 6.0017: (MOVE-UP F5 F24) [D:1.0000; C:1.0000]
 7.0020: (MOVE-DOWN F24 F41) [D:1.0000; C:1.0000]
 8.0022: (ENTER P47 F41) [D:1.0000; C:1.0000]
 9.0025: (MOVE-UP F41 F16) [D:1.0000; C:1.0000]
 10.0028: (EXIT P47 F16) [D:1.0000; C:1.0000]
 11.0030: (ENTER P25 F16) [D:1.0000; C:1.0000]
 12.0033: (MOVE-UP F16 F39) [D:1.0000; C:1.0000]
 13.0035: (EXIT P25 F39) [D:1.0000; C:1.0000]
 14.0037: (MOVE-DOWN F39 F16) [D:1.0000; C:1.0000]
 15.0040: (MOVE-DOWN F16 F50) [D:1.0000; C:1.0000]
 16.0042: (ENTER P50 F50) [D:1.0000; C:1.0000]
 17.0045: (MOVE-UP F50 F26) [D:1.0000; C:1.0000]
 18.0047: (EXIT P50 F26) [D:1.0000; C:1.0000]
 19.0050: (ENTER P42 F26) [D:1.0000; C:1.0000]
 20.0053: (MOVE-DOWN F26 F44) [D:1.0000; C:1.0000]
 21.0055: (MOVE-DOWN F44 F2) [D:1.0000; C:1.0000]
 22.0058: (EXIT P42 F2) [D:1.0000; C:1.0000]
 23.0060: (MOVE-DOWN F2 F48) [D:1.0000; C:1.0000]
 24.0063: (MOVE-UP F48 F25) [D:1.0000; C:1.0000]
 25.0065: (ENTER P28 F25) [D:1.0000; C:1.0000]
 26.0068: (MOVE-UP F25 F48) [D:1.0000; C:1.0000]
 27.0070: (EXIT P28 F48) [D:1.0000; C:1.0000]
 28.0072: (ENTER P16 F48) [D:1.0000; C:1.0000]
 29.0075: (MOVE-UP F48 F25) [D:1.0000; C:1.0000]
 30.0077: (MOVE-DOWN F25 F9) [D:1.0000; C:1.0000]
 31.0080: (EXIT P16 F9) [D:1.0000; C:1.0000]
 32.0083: (ENTER P3 F9) [D:1.0000; C:1.0000]
 33.0085: (MOVE-DOWN F9 F35) [D:1.0000; C:1.0000]
 34.0088: (EXIT P3 F35) [D:1.0000; C:1.0000]
 35.0090: (ENTER P45 F35) [D:1.0000; C:1.0000]
 36.0093: (MOVE-UP F35 F10) [D:1.0000; C:1.0000]
 37.0095: (EXIT P45 F10) [D:1.0000; C:1.0000]
 38.0098: (MOVE-UP F10 F35) [D:1.0000; C:1.0000]
 39.0100: (MOVE-DOWN F35 F10) [D:1.0000; C:1.0000]
 40.0103: (ENTER P23 F10) [D:1.0000; C:1.0000]
 41.0105: (MOVE-DOWN F10 F33) [D:1.0000; C:1.0000]
 42.0107: (EXIT P23 F33) [D:1.0000; C:1.0000]
 43.0110: (MOVE-DOWN F33 F40) [D:1.0000; C:1.0000]
 44.0112: (ENTER P33 F40) [D:1.0000; C:1.0000]
 45.0115: (EXIT P50 F40) [D:1.0000; C:1.0000]
 46.0117: (MOVE-UP F40 F12) [D:1.0000; C:1.0000]
 47.0120: (ENTER P4 F12) [D:1.0000; C:1.0000]
 48.0122: (MOVE-DOWN F12 F40) [D:1.0000; C:1.0000]
 49.0125: (EXIT P4 F40) [D:1.0000; C:1.0000]
 50.0127: (MOVE-UP F40 F12) [D:1.0000; C:1.0000]
 51.0130: (EXIT P33 F12) [D:1.0000; C:1.0000]
 52.0132: (MOVE-DOWN F12 F21) [D:1.0000; C:1.0000]
 53.0135: (ENTER P7 F21) [D:1.0000; C:1.0000]
 54.0137: (MOVE-DOWN F21 F2) [D:1.0000; C:1.0000]
 55.0140: (EXIT P7 F2) [D:1.0000; C:1.0000]
 56.0143: (ENTER P17 F2) [D:1.0000; C:1.0000]
 57.0145: (MOVE-UP F2 F35) [D:1.0000; C:1.0000]
 58.0148: (MOVE-UP F35 F37) [D:1.0000; C:1.0000]
 59.0150: (EXIT P17 F37) [D:1.0000; C:1.0000]
 60.0153: (ENTER P32 F37) [D:1.0000; C:1.0000]
 61.0155: (MOVE-DOWN F37 F9) [D:1.0000; C:1.0000]
 62.0158: (EXIT P32 F9) [D:1.0000; C:1.0000]
 63.0160: (MOVE-UP F9 F5) [D:1.0000; C:1.0000]
 64.0163: (ENTER P18 F5) [D:1.0000; C:1.0000]
 65.0165: (MOVE-DOWN F5 F11) [D:1.0000; C:1.0000]
 66.0167: (EXIT P23 F11) [D:1.0000; C:1.0000]
 67.0170: (ENTER P20 F11) [D:1.0000; C:1.0000]
 68.0173: (MOVE-DOWN F11 F47) [D:1.0000; C:1.0000]
 69.0175: (EXIT P20 F47) [D:1.0000; C:1.0000]
 70.0178: (ENTER P49 F47) [D:1.0000; C:1.0000]
 71.0180: (MOVE-UP F47 F11) [D:1.0000; C:1.0000]
 72.0182: (MOVE-UP F11 F41) [D:1.0000; C:1.0000]
 73.0185: (EXIT P18 F41) [D:1.0000; C:1.0000]
 74.0188: (MOVE-DOWN F41 F27) [D:1.0000; C:1.0000]
 75.0190: (ENTER P9 F27) [D:1.0000; C:1.0000]
 76.0192: (MOVE-UP F27 F8) [D:1.0000; C:1.0000]
 77.0195: (EXIT P9 F8) [D:1.0000; C:1.0000]
 78.0198: (ENTER P19 F8) [D:1.0000; C:1.0000]
 79.0200: (MOVE-UP F8 F4) [D:1.0000; C:1.0000]
 80.0202: (EXIT P18 F4) [D:1.0000; C:1.0000]
 81.0205: (ENTER P21 F4) [D:1.0000; C:1.0000]
 82.0208: (MOVE-DOWN F4 F27) [D:1.0000; C:1.0000]
 83.0210: (EXIT P21 F27) [D:1.0000; C:1.0000]
 84.0212: (MOVE-UP F27 F44) [D:1.0000; C:1.0000]
 85.0215: (EXIT P19 F44) [D:1.0000; C:1.0000]
 86.0218: (MOVE-UP F44 F18) [D:1.0000; C:1.0000]
 87.0220: (ENTER P6 F18) [D:1.0000; C:1.0000]
 88.0222: (MOVE-UP F18 F50) [D:1.0000; C:1.0000]
 89.0225: (EXIT P6 F50) [D:1.0000; C:1.0000]
 90.0228: (MOVE-DOWN F50 F33) [D:1.0000; C:1.0000]
 91.0230: (ENTER P11 F33) [D:1.0000; C:1.0000]
 92.0232: (MOVE-DOWN F33 F14) [D:1.0000; C:1.0000]
 93.0235: (EXIT P11 F14) [D:1.0000; C:1.0000]
 94.0238: (ENTER P38 F14) [D:1.0000; C:1.0000]
 95.0240: (MOVE-UP F14 F28) [D:1.0000; C:1.0000]
 96.0242: (EXIT P38 F28) [D:1.0000; C:1.0000]
 97.0245: (MOVE-DOWN F28 F14) [D:1.0000; C:1.0000]
 98.0247: (MOVE-DOWN F14 F32) [D:1.0000; C:1.0000]
 99.0250: (ENTER P44 F32) [D:1.0000; C:1.0000]
 100.0253: (MOVE-DOWN F32 F36) [D:1.0000; C:1.0000]
 101.0255: (ENTER P12 F36) [D:1.0000; C:1.0000]
 102.0257: (MOVE-UP F36 F17) [D:1.0000; C:1.0000]
 103.0260: (EXIT P12 F17) [D:1.0000; C:1.0000]
 104.0263: (ENTER P39 F17) [D:1.0000; C:1.0000]
 105.0265: (MOVE-DOWN F17 F31) [D:1.0000; C:1.0000]
 106.0267: (EXIT P39 F31) [D:1.0000; C:1.0000]
 107.0270: (MOVE-DOWN F31 F29) [D:1.0000; C:1.0000]
 108.0273: (MOVE-DOWN F29 F23) [D:1.0000; C:1.0000]
 109.0275: (EXIT P49 F23) [D:1.0000; C:1.0000]
 110.0277: (ENTER P41 F23) [D:1.0000; C:1.0000]
 111.0280: (MOVE-UP F23 F38) [D:1.0000; C:1.0000]
 112.0283: (EXIT P41 F38) [D:1.0000; C:1.0000]
 113.0285: (MOVE-DOWN F38 F30) [D:1.0000; C:1.0000]
 114.0287: (ENTER P10 F30) [D:1.0000; C:1.0000]
 115.0290: (MOVE-DOWN F30 F11) [D:1.0000; C:1.0000]
 116.0293: (EXIT P10 F11) [D:1.0000; C:1.0000]
 117.0295: (MOVE-DOWN F11 F44) [D:1.0000; C:1.0000]
 118.0297: (ENTER P48 F44) [D:1.0000; C:1.0000]
 119.0300: (MOVE-UP F44 F19) [D:1.0000; C:1.0000]
